trip_id,arrival_time,departure_time,stop_id,stop_sequence,raw
MRT3-N-0800,08:00:00,08:00:00,MRT-TAFT,1,{}
MRT3-N-0800,08:05:00,08:05:00,MRT-MAG,2,{}
MRT3-N-0800,08:10:00,08:10:00,MRT-AYALA,3,{}
MRT3-N-0800,08:15:00,08:15:00,MRT-BUENDIA,4,{}
MRT3-N-0800,08:20:00,08:20:00,MRT-GUAD,5,{}
MRT3-N-0800,08:25:00,08:25:00,MRT-SHAW,6,{}
MRT3-N-0800,08:30:00,08:30:00,MRT-ORTIGAS,7,{}
MRT3-N-0800,08:35:00,08:35:00,MRT-CUBAO,8,{}
MRT3-N-0830,08:30:00,08:30:00,MRT-TAFT,1,{}
MRT3-N-0830,08:35:00,08:35:00,MRT-MAG,2,{}
MRT3-N-0830,08:40:00,08:40:00,MRT-AYALA,3,{}
MRT3-N-0830,08:45:00,08:45:00,MRT-BUENDIA,4,{}
MRT3-N-0830,08:50:00,08:50:00,MRT-GUAD,5,{}
MRT3-N-0830,08:55:00,08:55:00,MRT-SHAW,6,{}
MRT3-N-0830,09:00:00,09:00:00,MRT-ORTIGAS,7,{}
MRT3-N-0830,09:05:00,09:05:00,MRT-CUBAO,8,{}
MRT3-S-0815,08:15:00,08:15:00,MRT-CUBAO,1,{}
MRT3-S-0815,08:20:00,08:20:00,MRT-ORTIGAS,2,{}
MRT3-S-0815,08:25:00,08:25:00,MRT-SHAW,3,{}
MRT3-S-0815,08:30:00,08:30:00,MRT-GUAD,4,{}
MRT3-S-0815,08:35:00,08:35:00,MRT-BUENDIA,5,{}
MRT3-S-0815,08:40:00,08:40:00,MRT-AYALA,6,{}
MRT3-S-0815,08:45:00,08:45:00,MRT-MAG,7,{}
MRT3-S-0815,08:50:00,08:50:00,MRT-TAFT,8,{}
MRT3-S-0845,08:45:00,08:45:00,MRT-CUBAO,1,{}
MRT3-S-0845,08:50:00,08:50:00,MRT-ORTIGAS,2,{}
MRT3-S-0845,08:55:00,08:55:00,MRT-SHAW,3,{}
MRT3-S-0845,09:00:00,09:00:00,MRT-GUAD,4,{}
MRT3-S-0845,09:05:00,09:05:00,MRT-BUENDIA,5,{}
MRT3-S-0845,09:10:00,09:10:00,MRT-AYALA,6,{}
MRT3-S-0845,09:15:00,09:15:00,MRT-MAG,7,{}
MRT3-S-0845,09:20:00,09:20:00,MRT-TAFT,8,{}
LRT1-N-0810,08:10:00,08:10:00,LRT1-BAC,1,{}
LRT1-N-0810,08:16:00,08:16:00,LRT1-EDSA,2,{}
LRT1-N-0810,08:22:00,08:22:00,LRT1-GIL,3,{}
LRT1-N-0810,08:28:00,08:28:00,LRT1-PEDRO,4,{}
LRT1-N-0810,08:34:00,08:34:00,LRT1-CENTRAL,5,{}
LRT1-N-0810,08:40:00,08:40:00,LRT1-MON,6,{}
LRT1-S-0835,08:35:00,08:35:00,LRT1-MON,1,{}
LRT1-S-0835,08:41:00,08:41:00,LRT1-CENTRAL,2,{}
LRT1-S-0835,08:47:00,08:47:00,LRT1-PEDRO,3,{}
LRT1-S-0835,08:53:00,08:53:00,LRT1-GIL,4,{}
LRT1-S-0835,08:59:00,08:59:00,LRT1-EDSA,5,{}
LRT1-S-0835,09:05:00,09:05:00,LRT1-BAC,6,{}
LRT2-E-0900,09:00:00,09:00:00,LRT2-RECTO,1,{}
LRT2-E-0900,09:07:00,09:07:00,LRT2-LEGARDA,2,{}
LRT2-E-0900,09:14:00,09:14:00,LRT2-KATIP,3,{}
LRT2-E-0900,09:21:00,09:21:00,LRT2-SANTOL,4,{}
LRT2-W-0930,09:30:00,09:30:00,LRT2-SANTOL,1,{}
LRT2-W-0930,09:37:00,09:37:00,LRT2-KATIP,2,{}
LRT2-W-0930,09:44:00,09:44:00,LRT2-LEGARDA,3,{}
LRT2-W-0930,09:51:00,09:51:00,LRT2-RECTO,4,{}
BRT-AYALA-N-0800,08:00:00,08:00:00,BRT-MOA,1,{}
BRT-AYALA-N-0800,08:10:00,08:10:00,BRT-AYALA,2,{}
BRT-AYALA-N-0800,08:20:00,08:20:00,BRT-ORTIGAS,3,{}
BRT-AYALA-N-0800,08:30:00,08:30:00,BRT-QUEZON,4,{}
BRT-QAVE-S-0830,08:30:00,08:30:00,BRT-QUEZON,1,{}
BRT-QAVE-S-0830,08:40:00,08:40:00,BRT-ORTIGAS,2,{}
BRT-QAVE-S-0830,08:50:00,08:50:00,BRT-AYALA,3,{}
BRT-QAVE-S-0830,09:00:00,09:00:00,BRT-MOA,4,{}
P2P-S-0700,07:00:00,07:00:00,P2P-ALABANG,1,{}
P2P-S-0700,07:45:00,07:45:00,P2P-ORTH,2,{}
P2P-N-1800,18:00:00,18:00:00,P2P-TRINOMA,1,{}
P2P-N-1800,18:35:00,18:35:00,P2P-ORTH,2,{}
