stop_id,stop_name,stop_lat,stop_lon,parent_station,zone_id,raw
MRT-TAFT,MRT3 Taft Ave,14.5373,121.0,,1,{}
MRT-MAG,MRT3 Magallanes,14.5406,121.018,,1,{}
MRT-AYALA,MRT3 Ayala,14.5517,121.0263,,1,{}
MRT-BUENDIA,MRT3 Buendia,14.5547,121.0336,,1,{}
MRT-GUAD,MRT3 Guadalupe,14.5667,121.0423,,1,{}
MRT-SHAW,MRT3 Shaw Blvd,14.5795,121.053,,1,{}
MRT-ORTIGAS,MRT3 Ortigas,14.5852,121.0567,,1,{}
MRT-CUBAO,MRT3 Cubao,14.6207,121.0536,,1,{}
LRT1-BAC,LRT1 Baclaran,14.5351,120.997,,1,{}
LRT1-EDSA,LRT1 EDSA,14.5366,120.9999,,1,{}
LRT1-GIL,LRT1 Gil Puyat,14.5562,120.9945,,1,{}
LRT1-PEDRO,LRT1 Pedro Gil,14.5762,120.9872,,1,{}
LRT1-CENTRAL,LRT1 Central Terminal,14.5995,120.9842,,1,{}
LRT1-MON,LRT1 Monumento,14.6549,120.983,,1,{}
LRT2-RECTO,LRT2 Recto,14.6033,120.9822,,1,{}
LRT2-LEGARDA,LRT2 Legarda,14.6039,121.0033,,1,{}
LRT2-KATIP,LRT2 Katipunan,14.6361,121.0747,,1,{}
LRT2-SANTOL,LRT2 Santolan,14.6229,121.0855,,1,{}
BRT-MOA,EDSA Carousel MOA,14.5342,120.9837,,1,{}
BRT-AYALA,EDSA Carousel Ayala,14.5519,121.0261,,1,{}
BRT-ORTIGAS,EDSA Carousel Ortigas,14.587,121.058,,1,{}
BRT-QUEZON,EDSA Carousel Quezon Ave,14.6369,121.0364,,1,{}
P2P-ALABANG,P2P Alabang,14.417,121.044,,2,{}
P2P-ORTH,P2P Ortigas,14.5864,121.0606,,2,{}
P2P-TRINOMA,P2P Trinoma,14.6521,121.0326,,2,{}
