as_of_ts,lat,lon,forecast_ts,temp_c,precip_prob,wind_kph,src
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-01T00:00:00+08:00,25.9,69,8.0,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-01T03:00:00+08:00,26.0,49,8.8,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-01T06:00:00+08:00,27.1,15,13.0,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-01T09:00:00+08:00,27.8,55,19.2,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-01T12:00:00+08:00,28.9,96,8.4,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-01T15:00:00+08:00,28.4,41,18.7,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-01T18:00:00+08:00,27.0,60,14.1,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-01T21:00:00+08:00,26.9,27,12.3,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-02T00:00:00+08:00,26.4,73,9.5,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-02T03:00:00+08:00,25.4,53,9.2,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-02T06:00:00+08:00,28.0,30,7.5,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-02T09:00:00+08:00,28.2,96,11.9,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-02T12:00:00+08:00,28.5,84,6.4,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-02T15:00:00+08:00,29.1,45,13.3,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-02T18:00:00+08:00,26.8,66,9.6,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-02T21:00:00+08:00,27.9,54,14.5,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-03T00:00:00+08:00,25.3,11,17.9,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-03T03:00:00+08:00,25.6,92,7.4,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-03T06:00:00+08:00,27.7,38,18.0,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-03T09:00:00+08:00,28.3,51,18.0,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-03T12:00:00+08:00,28.6,74,12.7,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-03T15:00:00+08:00,29.2,79,10.6,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-03T18:00:00+08:00,27.7,38,14.0,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-03T21:00:00+08:00,27.8,90,12.3,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-04T00:00:00+08:00,26.3,27,9.8,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-04T03:00:00+08:00,25.8,82,18.1,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-04T06:00:00+08:00,27.7,50,10.2,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-04T09:00:00+08:00,27.1,68,14.6,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-04T12:00:00+08:00,29.4,47,18.0,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-04T15:00:00+08:00,28.5,80,15.9,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-04T18:00:00+08:00,27.4,39,14.6,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-04T21:00:00+08:00,27.3,60,12.5,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-05T00:00:00+08:00,26.4,70,13.1,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-05T03:00:00+08:00,26.7,58,14.9,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-05T06:00:00+08:00,27.8,94,22.5,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-05T09:00:00+08:00,26.9,63,14.6,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-05T12:00:00+08:00,29.0,47,12.0,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-05T15:00:00+08:00,29.2,30,8.6,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-05T18:00:00+08:00,27.2,81,11.4,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-05T21:00:00+08:00,26.9,78,12.2,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-06T00:00:00+08:00,25.8,88,10.6,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-06T03:00:00+08:00,26.3,52,9.8,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-06T06:00:00+08:00,26.8,64,13.2,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-06T09:00:00+08:00,28.2,41,11.8,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-06T12:00:00+08:00,28.9,68,13.1,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-06T15:00:00+08:00,28.8,41,7.3,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-06T18:00:00+08:00,26.9,51,11.9,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-06T21:00:00+08:00,28.2,44,15.4,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-07T00:00:00+08:00,26.0,67,11.9,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-07T03:00:00+08:00,25.9,37,7.1,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-07T06:00:00+08:00,27.5,94,15.0,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-07T09:00:00+08:00,27.0,100,14.0,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-07T12:00:00+08:00,29.0,47,12.2,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-07T15:00:00+08:00,28.5,71,10.1,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-07T18:00:00+08:00,28.0,56,13.9,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-07T21:00:00+08:00,28.2,47,20.4,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-08T00:00:00+08:00,25.7,72,13.3,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-08T03:00:00+08:00,25.6,47,12.6,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-08T06:00:00+08:00,28.3,76,8.5,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-08T09:00:00+08:00,28.2,46,12.4,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-08T12:00:00+08:00,28.8,56,11.2,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-08T15:00:00+08:00,29.2,53,21.4,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-08T18:00:00+08:00,26.9,77,9.6,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-08T21:00:00+08:00,27.7,61,12.7,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-09T00:00:00+08:00,26.7,69,14.0,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-09T03:00:00+08:00,26.5,36,12.1,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-09T06:00:00+08:00,27.9,94,4.0,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-09T09:00:00+08:00,27.0,35,4.6,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-09T12:00:00+08:00,29.7,62,13.3,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-09T15:00:00+08:00,29.7,42,14.8,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-09T18:00:00+08:00,27.1,84,5.2,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-09T21:00:00+08:00,28.1,44,12.2,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-10T00:00:00+08:00,26.8,76,12.6,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-10T03:00:00+08:00,25.2,50,12.1,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-10T06:00:00+08:00,27.3,62,7.6,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-10T09:00:00+08:00,28.2,12,17.2,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-10T12:00:00+08:00,28.6,59,5.1,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-10T15:00:00+08:00,29.0,42,9.9,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-10T18:00:00+08:00,28.0,50,9.6,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-10T21:00:00+08:00,28.2,65,13.9,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-11T00:00:00+08:00,26.6,68,10.6,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-11T03:00:00+08:00,26.0,39,10.9,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-11T06:00:00+08:00,28.2,56,15.5,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-11T09:00:00+08:00,27.1,64,12.5,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-11T12:00:00+08:00,28.3,56,10.2,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-11T15:00:00+08:00,29.2,68,11.2,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-11T18:00:00+08:00,27.1,81,9.9,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-11T21:00:00+08:00,28.0,41,8.0,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-12T00:00:00+08:00,26.5,44,15.4,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-12T03:00:00+08:00,25.5,78,4.5,"{""city"":""Intramuros""}"
2025-10-15T00:59:55+08:00,14.5886,120.9742,2025-07-12T06:00:00+08:00,28.4,58,9.9,"{""city"":""Intramuros""}"
